"question_id","module_id","phase_id","q_num","question_type","prompt_en","prompt_zh","prompt_es","option_a_en","option_a_zh","option_a_es","option_b_en","option_b_zh","option_b_es","option_c_en","option_c_zh","option_c_es","option_d_en","option_d_zh","option_d_es","correct_option","explanation_a_en","explanation_a_zh","explanation_a_es","explanation_b_en","explanation_b_zh","explanation_b_es","explanation_c_en","explanation_c_zh","explanation_c_es","explanation_d_en","explanation_d_zh","explanation_d_es","fallback_tip_en","fallback_tip_zh","fallback_tip_es","difficulty","review_status","review_notes"
"clauses_rec_q01","clauses","rec","1","multiple_choice_single","下面哪个部分是定语从句？
The woman who called me is my manager.","下面哪个部分是定语从句？
The woman who called me is my manager.","下面哪个部分是定语从句？
The woman who called me is my manager.","The woman","The woman","The woman","who called me","who called me","who called me","is my manager","is my manager","is my manager","my manager","my manager","my manager","B","","","","","","","","","","","","","","","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_rec_q02","clauses","rec","2","multiple_choice_single","下面哪个部分是定语从句？
I read the book that you recommended.","下面哪个部分是定语从句？
I read the book that you recommended.","下面哪个部分是定语从句？
I read the book that you recommended.","I read","I read","I read","the book","the book","the book","that you recommended","that you recommended","that you recommended","the book that","the book that","the book that","C","","","","","","","","","","","","","","","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_rec_q03","clauses","rec","3","multiple_choice_single","下面哪个部分是定语从句？
The cafe where we met has closed.","下面哪个部分是定语从句？
The cafe where we met has closed.","下面哪个部分是定语从句？
The cafe where we met has closed.","The cafe","The cafe","The cafe","where we met","where we met","where we met","has closed","has closed","has closed","The cafe where","The cafe where","The cafe where","B","","","","","","","","","","","","","","","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_rec_q04","clauses","rec","4","multiple_choice_single","定语从句修饰的是哪个名词？
The scientist who discovered the vaccine won a prize.","定语从句修饰的是哪个名词？
The scientist who discovered the vaccine won a prize.","定语从句修饰的是哪个名词？
The scientist who discovered the vaccine won a prize.","The scientist","The scientist","The scientist","discovered","discovered","discovered","the vaccine","the vaccine","the vaccine","won a prize","won a prize","won a prize","A","","","","","","","","","","","","","","","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_rec_q05","clauses","rec","5","multiple_choice_single","先行词是哪个？
I use a phone that never crashes.","先行词是哪个？
I use a phone that never crashes.","先行词是哪个？
I use a phone that never crashes.","I use","I use","I use","a phone","a phone","a phone","that never crashes","that never crashes","that never crashes","never crashes","never crashes","never crashes","B","","","","","","","","","","","","","","","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_subj_q01","clauses","subj","1","multiple_choice_single","The woman ___ called me is my manager.","The woman ___ called me is my manager.","The woman ___ called me is my manager.","who","who","who","which","which","which","where","where","where","whom","whom","whom","A|D","","","","","","","","","","","","","who for people as subject","who 指人作主语 → who 或 that 都可以","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_subj_q02","clauses","subj","2","multiple_choice_single","The doctor ___ treated me was kind.","The doctor ___ treated me was kind.","The doctor ___ treated me was kind.","which","which","which","who","who","who","that","that","that","whom","whom","whom","B|C|D","","","","","","","","","","","","","Person as subject → who/that","指人作主语 → who/that","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_subj_q03","clauses","subj","3","multiple_choice_single","I need a tool ___ can fix this.","I need a tool ___ can fix this.","I need a tool ___ can fix this.","who","who","who","that","that","that","where","where","where","whom","whom","whom","B","","","","","","","","","","","","","Thing as subject → that/which","指物作主语 → that/which","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_subj_q04","clauses","subj","4","multiple_choice_single","The train ___ arrives at 3 PM is delayed.","The train ___ arrives at 3 PM is delayed.","The train ___ arrives at 3 PM is delayed.","who","who","who","that","that","that","where","where","where","when","when","when","B","","","","","","","","","","","","","train is a thing → that/which","train 是物 → that/which","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
"clauses_subj_q05","clauses","subj","5","multiple_choice_single","A friend ___ helps you is priceless.","A friend ___ helps you is priceless.","A friend ___ helps you is priceless.","which","which","which","who","who","who","that","that","that","where","where","where","B|C","","","","","","","","","","","","","friend = person, subject → who/that","friend 指人 → who/that","","1","needs_rewrite_translation_and_explanations","Imported from the current production JSON; not approved for release until language and pedagogy review passes."
